Tony Adams
Colin Addison
Emmanuel Adebayor
Victor Adeboyejo
Benik Afobe
Chuba Akpom
Ryan Alebiosu
Ömer Rıza
Jérémie Aliadière
Clive Allen
Ian Allinson
Manuel Almunia
Xavier Amaechi
Terry Anderson
Viv Anderson
Chuks Aneke
Nicolas Anelka
Martin Angha
Jaidon Anthony
George Armstrong
Kepa Arrizabalaga
Andrej Aršavin
Mikel Arteta
Jimmy Ashcroft
Pierre-Emerick Aubameyang
Luke Ayling
David Bacuzzi
Joe Bacuzzi
Alf Baker
Joe Baker
Mahlon Romeo
Tommy Baldwin
Alan James Ball
Daniel Ballard
Folarin Balogun
Nacer Barazite
Walley Barnes
Geoff Barnett
John Barnwell
Graham Barrett
Kyle Bartley
Cliff Bastin
Morris Bates
Robert Beale
Fred Beardsley
Albert Beasley
Charles Oliver Bell
James Bellamy
Héctor Bellerín
Yossi Benayoun
Nicklas Bendtner
Ismaël Bennacer
Bob Benson
Josh Benson
Daniel Bentley
David Bentley
Dennis Bergkamp
Kevin Betsy
Krystian Bielik
Mika Biereth
Amaury Bischoff
Billy Blyth
Jeff Blockley
Jimmy Bloomfield
Ray Bloomfield
Luís Boa Morte
Marc Bola
Pedro Botelho
Steve Bould
Frank Boulton
Ray Bowden
Dave Bowen
Dwight Gayle
Stephen Bradley
Frank Bradshaw
Liam Brady
Jimmy Brain
Cohen Bramall
Harry Brophy
Giovanni van Bronckhorst
Laurie Brown
Charlie Buchan
Christian Burgess
Terry Burton
Jack Butler
Nathan Butler-Oyedeji
Gus Caesar
Riccardo Calafiori
Joel Campbell
Kevin Campbell
Sol Campbell
Eddie Carr
Samir Carruthers
Santi Cazorla
Dani Ceballos
Petr Čech
Marouane Chamakh
Brian Chambers
Calum Chambers
Lee Chapman
Charalampos Charalampous
Mel Charles
Regan Charles-Cook
Reice Charles-Cook
Stan Charlton
Īlias Chatzītheodōridīs
Cătălin Cîrjan
Eddie Clamp
Danny Clapton
Peter Clark
Adrian Clarke
Harry Clarke
Gaël Clichy
Adrian Clifton
Tommy Coakley
Andy Cole
Ashley Cole
Tim Coleman
Alf Common
Denis Compton
Leslie Compton
Matthew Connolly
Wilf Copping
Francis Coquelin
David Cork
Ben Cottrell
Trae Coyle
Gavin Crawford
Jack Crayston
Patrick Cregg
Daniel Crowley
George Curtis
Pascal Cygan
Matheus Índio
Kristopher Da Graca
Ray Daniel
Tomas Danilevičius
David Danskin
Josh Dasilva
David Luiz
Paul Vincent Davis
Jamie Day
Roarie Deacon
Mathieu Debuchy
Guy Demel
Jason Demetriou
Denílson Pereira Neves
John Devine
Abou Diaby
Lassana Diarra
Kaba Diawara
John Dick
Paul Dickov
Joe Dines
Lee Dixon
Robert Dixon
Johan Djourou
George Dobson
Tommy Docherty
William Dodgin Jr.
Moussa Doumbia
Max Dowman
Vlad Dragomir
Ted Drake
Andy Ducat
Jimmy Dunne
George Eastham
Craig Eastmond
Kyle Ebecilio
Emmanuel Eboué
Eduardo Alves da Silva
Giōrgos Efraim
Thomas Eisfeld
Ovie Ejaria
Mohamed Elneny
Jay Emmanuel-Thomas
