Joel Abu Hanna
René Adler
Amine Adli
Jeremie Frimpong
Atakan Akkaynak
Hamadi Al Ghaddioui
Kerim Alajbegović
Lucas Alario
Nadiem Amiri
Jarell Quansah
Anderson Bamba
Robert Andrich
Markus Anfang
Charles Aránguiz
Santiago Arias
Athirson
Okan Aydın
Ayman Azhil
Sardar Azmoun
Marko Babić
Loïc Badé
Leon Bailey
Sinan Bakış
Mitchel Bakker
Hanno Balitsch
Michael Ballack
Thierno Ballo
Sergej Barbarez
Tranquillo Barnetta
Yıldıray Baştürk
Julian Baumgartlinger
Zvonko Bego
Stefan Beinlich
Karim Bellarabi
Axel Bellinghausen
Jeanuël Belocian
Eliesse Ben Seghir
Lars Bender
Sven Bender
Dimităr Berbatov
Džemal Berberović
Johannes van den Bergh
Julius Biada
Daniel Bierofka
Gero Bisanz
Werner Biskup
Janis Blaswich
Tomasz Bobel
Sebastian Boenisch
Jan Boller
Victor Boniface
Julian Brandt
Iker Bravo
Thomas Brdarić
Emiliano Buendía
Dmitrij Bulykin
Andrzej Buncol
Hans-Jörg Butt
Hakan Çalhanoğlu
Jan-Ingwer Callsen-Bracker
Emre Can
Manuel Cardoni
Carlinhos
Daniel Carvajal
Gonzalo Castro
Cha Bum-kun
Cha Du-ri
Rodrigo Chagas
Aggelos Charisteas
Mīnas Chatzidīs
Christian Kofane
Andrejs Cigaņiks
Vedran Ćorluka
Danny da Costa
Cris
Lucas Cueto
Montrell Culbreath
Markus Daun
Arthur
Pierre De Wit
Sven Demandt
Kerem Demirbay
Dietmar Demuth
Eren Derdiyok
Moussa Diaby
Joey DiGiamarino
Giulio Donati
Landon Donovan
Thomas Dooley
Lucas dos Santos Rocha da Silva
Guéla Doué
Aleksandar Dragović
Bernd Dreher
Dominick Drexler
Josip Drmić
Alejandro Duarte
Sascha Dum
Claudio Echeverri
Manfred Eickerling
Emerson Ferreira da Rosa
Denis Epstein
Holger Fach
Patrick Falk
Ralf Falkenmayer
Ricardo Faty
Marcus Feinbier
Markus Feldhoff
Júnior Fernándes
Benedikt Fernandez
Ezequiel Fernández
Andreas Fischer
Mark Flekken
Franco Foda
Sadik Fofana
Timothy Fosu-Mensah
França
Paul Freier
Marlon Frey
Manuel Friedrich
Clemens Fritz
Martin Frýdek
Aleix García
Jürgen Gelsdorf
Fabian Giefer
Anders Giske
Theofanīs Gkekas
Rudolf González
Werner Görts
Falko Götz
Demarai Gray
Vratislav Greško
Lennart Grill
Alejandro Grimaldo
Andrés Guardado
André Gumprecht
Miguel Gutiérrez
Karim Haggui
Tim Handwerker
Pavel Hapal
Markus Happe
Jens Hegeler
Jan Heintze
Philip Heise
Frankie Hejduk
Patrick Helmes
Benjamin Henrichs
Henrique Adriano Buss
Peter Hermann
Mario Hermoso
Javier Hernández
Heiko Herrlich
Ingo Hertzsch
Dieter Herzog
Roberto Hilbert
Piero Hincapié
Florian Hinterberger
Adam Hložek
Jonas Hofmann
Marco Höger
Thomas Hörster
Hajime Hosogai
Lukáš Hrádecký
Callum Hudson-Odoi
Sami Hyypiä
Borja Iglesias
Tin Jedvaj
Jermaine Jones
Nicolai Jørgensen
Jorginho
Walter Junghans
Vladlen Jurčenko
Frank Juric
Michal Kadlec
Kai Havertz
Radosław Kałużny
Kevin Kampl
Burak Kaplan
Manfred Kastl
Isaac Kiese Thelin
Stefan Kießling
Thorsten Kirschbaum
Ulf Kirsten
Kai Klefisch
Thomas Kleine
Stefan Kohn
Dominik Kohr
Tevfik Köse
Odilon Kossounou
Niko Kovač
Robert Kovač
Matěj Kovář
Christoph Kramer
Martin Kree
Dario Krešić
Toni Kroos
Robbie Kruse
Jacek Krzynówek
Atanas Kurdov
Marc Lamti
Arne Larsen Økland
Pierre-Michel Lasogga
Udo Lattek
Danko Lazović
Adam Ledwoń
Hans-Peter Lehnhoff
Bernd Leno
Marek Leśniak
Niklas Lomb
Marcel Lotka
Dirk Lottner
Teddy Lučić
Lucimar Ferreira da Silva
Anderson Lucoqui
Andrej Lunëv
Ioan Lupescu
Ahmed Madouni
Čebrails Makreckis
Zoran Mamić
Manfred Manglitz
Ioannis Masmanidis
Adam Matysek
Ibrahim Maza
Noah Mbamba
Facundo Medina
Jonas Meffert
Admir Mehmedi
Erik Meijer
Jens Melzig
Ramon Menezes
Alexander Meyer
Arkadiusz Milik
Aaron Mokoena
Afonso Moreira
Ali Mousavi
Nordi Mukiele
Markus Münch
Deniz Naki
Khaled Narey
Wendell
Gerrit Nauber
Tsiy William Ndenge
Andreas Neuendorf
Oliver Neuville
David Niepsuj
Jens Nowotny
Bastian Oczipka
Tim Oermann
Pascal Ojigwe
Olcay Şahan
Jonas Omlin
Samed Onur
Michael Ortega
Ramazan Özcan
Levin Öztunalı
Sezer Öztürk
Exequiel Palacios
Andrés Palop
Zvonko Pamić
Kyriakos Papadopoulos
Michal Papadopulos
Leart Paqarada
Mehdi Pashazadeh
Paulinho
Paulo Sérgio
Patrick Pentz
Athanasios Petsos
Diego Placente
Joel Pohjanpalo
Ernest Poku
Robson Ponte
Christoph Preuß
Gustavo Puerta
Kolja Pusch
André Ramalho
Carsten Ramelow
Stefan Reinartz
Alois Reinhardt
Dominik Reinhardt
Knut Reinhardt
Michael Rensing
Panagiōtīs Retsos
Claudio Reyna
Simon Rhein
Paulo Rink
Marcel Risse
Jürgen Röber
Simon Rolfes
Wolfgang Rolff
Artem Stepanov
Roque Júnior
Ryu Seung-woo
Sidney Sam
Alejo Sarco
Hans Sarpei
Julian Schauerte
Patrik Schick
Bernd Schneider
Heiko Scholz
Sam Schreck
Christian Schreier
André Schürrle
Bernd Schuster
Daniel Schwaab
Pirmin Schwegler
Zoltán Sebescen
Zidan Sertdemir
Juan Silveira dos Santos
Jan Šimák
Daley Sinkgraven
Lukas Sinkiewicz
Bent Skammelsrud
Renato Augusto
Son Heung-min
Emir Spahić
Karl-Heinz Spikofski
Kōstas Stafylidīs
Josip Stanišić
Fredrik Stenman
Richard Sukuta-Pasu
Josip Tadić
Jonathan Tah
Axel Tape
Edmond Tapsoba
Klaus Täuber
Nils Teixeira
Nathan Tella
Martin Terrier
Andreas Thom
John Thorrington
Rachid Tiberkanine
Malik Tillman
Tita
Ömer Toprak
Gökhan Töre
Assimiou Touré
Cem Türkmen
Lucas Vázquez
Eric Veiga
Domagoj Vida
Arturo Vidal
Kevin Volland
Rüdiger Vollborn
Rudi Völler
Markus von Ahlen
Andrij Voronin
Jurica Vranješ
Herbert Waas
Mitchell Weiser
Tim Wiese
Leo Wilden
Helmut Winklhofer
Florian Wirtz
Rudolf Wojtowicz
Claus-Dieter Wollitz
Philipp Wollscheid
Christian Wörns
Granit Xhaka
Güven Yalçın
Dariush Yazdani
David Yelldell
Samed Yeşil
Constant Djakpa
Tomasz Zdebel
Zé Elias
Zé Roberto
Erik Zenga
Michael Zepek
Boris Živković
Pascal Zuberbühler
