Rüdiger Abramczik
Klaus Ackermann
Otto Addo
Karim Adeyemi
Augustine Ahinful
Manuel Akanji
Mehmet Akgün
Paco Alcácer
Mihail Aleksandrov
Zlatan Alomerović
Enis Alushi
Martin Amedick
Etienne Amenyido
Mustafa Amini
Matthew Amoah
Márcio Amoroso
Youssef Amyn
Ingo Anderbrügge
Viktor Angelov
Aaron Anselmino
Waldemar Anton
Tolgay Arslan
Jonas Arweiler
Rudi Assauer
Pierre-Emerick Aubameyang
Ayman Azhil
Alexander Bade
Sezer Badur
Bálint Bajner
Marvin Bakalorz
Leonardo Balerdi
Samuel Bamba
Maurice Banach
Sergej Barbarez
Lucas Barrios
Marc Bartra
Mladen Bartulović
Felix Bastians
Michy Batshuayi
Karsten Baumann
Maximilian Beier
Jobe Bellingham
Jude Bellingham
Rico Benatelli
Sven Bender
Ramy Bensebaini
André Bergdølmo
Patrik Berger
Magnús Bergs
Manfred Binz
Leonardo Bittencourt
David Blacha
Jakub Błaszczykowski
Kevin-Prince Boateng
Fredi Bobic
Scott Booth
Julian Brandt
Franz Brungs
Paris Brunner
Jacob Bruun Larsen
Markus Brzenska
Christopher Buchtmann
Theo Bücker
Delron Buckley
Manfred Burgsmüller
Roman Bürki
Dženis Burnić
Vladimir But
Jamie Bynoe-Gittens
Nizamettin Çalışkan
Cole Campbell
Emre Can
Reinier
Conor Casey
Gonzalo Castro
Stéphane Chapuisat
Carney Chukwuemeka
Hans Cieslarczyk
Nnamdi Collins
Flávio Conceição
Soumaïla Coulibaly
Yan Couto
Antônio da Silva
Mahmoud Dahoud
Wolfgang de Beer
Enzo Duarte
Harry Decheiver
Dedê
Philipp Degen
Thomas Delaney
Ousmane Dembélé
Guy Demel
Kerem Demirbay
Abdou Diallo
Norbert Dickel
Maximilian Dittgen
Patrick Drewes
Domagoj Drožđek
Marvin Ducksch
Jeremy Dudziak
Julien Duranville
Erik Durm
Atli Eðvaldsson
Andy Egli
Marco Ehmann
Thomas Eisfeld
Lothar Emmerich
Ewerthon
Reinhard Fabisch
Giovanni Federico
Wolfgang Feiersinger
Felipe Santana
Daniel Heuer Fernandes
Juan Ramón Fernández
Evanílson
Markus Feulner
Bradley Fink
Thorsten Fink
Max Finkgräfe
Thomas Franck
Wolfgang Frank
Alexander Frei
Steffen Freund
Manuel Friedrich
Torsten Frings
Chris Führich
Niclas Füllkrug
Joane Gadou
Salvatore Gambino
Dennis Gentenaar
Daniel Ginczek
Matthias Ginter
Sergio Gómez Martín
Daniel Gordon
Mario Götze
Pascal Groß
Kevin Großkreutz
Raphaël Guerreiro
Serhou Guirassy
Cedric van der Gun
İlkay Gündoğan
Koray Günter
Joseph-Claude Gyau
Erling Haaland
Tamás Hajnal
Achraf Hakimi
Sébastien Haller
Sjarhej Harlukovič
Phil Harres
Thomas Häßler
Thorgan Hazard
Christofer Heimeroth
Jörg Heinrich
Marc Heitmeier
Sigfried Held
Thomas Helmer
Thomas Hengen
Heiko Herrlich
Marwin Hitz
Jonas Hofmann
Marc Hornschuh
Marcel Höttecke
Horst Hrubesch
Lothar Huber
Mats Hummels
Uwe Hünemeier
Dirk Hupe
Victor Ikpeba
Eike Immel
Ciro Immobile
Samuele Inácio
Alexander Isak
Caspar Jander
Adnan Januzaj
Andrij Jarmolenko
Niclas Jensen
Miloš Jojić
Júlio César da Silva
Almugera Kabar
Shinji Kagawa
Kevin Kampl
Sead Kapetanović
Helmut Kapitulski
Kōnstantinos Karetsas
Steffen Karl
Sebastian Kehl
Alfred Kelbassa
Erdal Keser
Reda Khadra
Luca Kilian
Oliver Kirch
Jovan Kirovski
Gerhard Kleppinger
Diego Klimowicz
Stefan Klos
Bernd Klotz
Ansgar Knauff
Gregor Kobel
Julian Koch
Jürgen Kohler
Jan Koller
Timo Konietzka
Harald Konopka
Giannīs Kōnstantelias
Erwin Kostedde
Robert Kovač
Bernd Krauss
Martin Kree
Florian Kringe
Thomas Kroth
Lukas Kruse
Marc-André Kruska
Dieter Kurrat
Marco Kurz
Günter Kutowski
Heinz Kwiatkowski
Paul Lambert
Mitchell Langerak
Alexander Laukart
Philipp Laux
Damien Le Tallec
Lee Young-pyo
Jens Lehmann
Moritz Leitner
August Lenz
Justin Lerma
Robert Lewandowski
Reinhard Libuda
Willi Lippens
Ralf Loose
Werner Lorant
Marcel Lotka
Chris Löwe
Michael Lusch
Ian Maatsen
Murdo MacLeod
Ahmed Madouni
Donyell Malen
Lennard Maloney
Orel Mangala
Tashreeq Matthews
Mikel Merino
Christoph Metzelder
Thomas Meunier
Alexander Meyer
Sven Michel
Frank Mill
Anthony Modeste
Andreas Möller
Emre Mor
Mateu Morey
Youssoufa Moukoko
Horst Mühlmann
