Patrick van Aanholt
Tammy Abraham
Josh Acheampong
Hubert Adamczyk
Mike Adams
Tosin Adarabioyo
Amin Affane
Dapo Afolayan
Ola Aina
Ümit Akdağ
Nathan Aké
Alcides Araújo Alves
Rati Aleksidze
Mukhtar Ali
Cecil Allen
Clive Allen
Les Allen
Joseph Allon
Estêvão Willian
Marcos Alonso Mendoza
Gabriele Ambrosetti
Marco Ambrosio
Marco Amelia
Mathis Amougou
Ethan Ampadu
Nicolas Anelka
Victorien Angban
Tino Anjorin
Louie Annesley
Aaron Anselmino
Ken Armstrong
Bright Arrey-Mbi
Kepa Arrizabalaga
Christian Atsu
Pierre-Emerick Aubameyang
César Azpilicueta
Demba Ba
Abdul Rahman Baba
Celestine Babayaro
Joe Bacuzzi
Benoît Badiashile
Tiémoué Bakayoko
Lewis Baker
Tommy Baldwin
Michael Ballack
Thierno Ballo
Joe Bambrick
Patrick Bamford
Eamonn Bannon
Valentín Barco
Ross Barkley
Darren Barnard
Neil Barrett
Jim Barron
Brian Bason
Michy Batshuayi
Dave Beasant
Jermaine Beckford
Asmir Begović
Juliano Belletti
Tal Ben Haim
Yossi Benayoun
Chris Bennett
Roy Bentley
Lucas Bergström
Di'Shon Bernard
Ryan Bertrand
Marcus Bettinelli
Sid Bidewell
Ted Birnie
Syd Bishop
Jamal Blackman
Nathan Blake
Micky Block
Frank Blunstone
Paul Bodin
Jérémie Boga
Winston Bogarde
Gordon Bolland
Peter Bonetti
Fabio Borini
Petar Borota
José Bosingwa
Mark Bosnich
Khalid Boulahrouz
Mbark Boussoufa
Ibane Bowat
Tom Boyd
John Boyle
Peter Brabrook
Terry Bradbury
Ronald Brebner
Rhian Brewster
Liam Bridcutt
Wayne Bridge
Barry Bridges
Les Briley
Ian Britton
Armando Broja
Paul Brooker
Johnny Brooks
Isaiah Brown
Billy Brown
Jeffrey Bruma
John Robertson
Marcin Bułka
Charlie Bunyan
Facundo Buonanotte
Harry Burgess
Craig Burley
Mason Burstow
Geoff Butler
Jamie Bynoe-Gittens
Wilfredo Caballero
Gary Cahill
Moisés Caicedo
Ernie Campbell
Ricardo Carvalho
Tony Cascarino
Pierluigi Casiraghi
Sid Castle
Petr Čech
Momodou Ceesay
Cesare Casadei
Nathaniel Chalobah
Trevoh Chalobah
Dmitrij Charin
Laurent Charvet
Alec Cheyne
Ben Chilwell
Gary Chivers
Andreas Christensen
Isaac Christie-Davies
Carney Chukwuemeka
Steve Clarke
Jake Clarke-Salter
Neil Clement
David Cliss
Jack Cock
Ashley Cole
Carlton Cole
Joe Cole
Nick Colgan
Charlie Colkett
Joseph Colley
Bradley Collins
Charlie Cooke
Jack Cork
Diego Costa
Thibaut Courtois
Hernán Crespo
Andrew Crofts
Juan Cuadrado
Marc Cucurella
Carlo Cudicini
Cristián Cuevas
Jamie Cumming
Shaun Cummings
Warren Cummings
Diego Moreira
Fankaty Dabo
Samuele Dalla Bona
Jay Dasilva
David Luiz
Gordon Davies
Ulises Dávila
Kevin De Bruyne
Ed de Goeij
Enrique de Lucas
Nathan Allan de Souza
Deivid Washington
Anderson Luís de Souza
Asier del Horno
Matej Delač
Liam Delap
John Dempsey
Marcel Desailly
Didier Deschamps
Kiernan Dewsbury-Hall
Valerio Di Cesare
Roberto Di Matteo
Franco Di Santo
Lassana Diarra
Alex
Tyler Dibling
Alan Dicks
Axel Disasi
Kerry Dixon
Aliu Djaló
Papy Djilobodji
Ramires
Tommy Docherty
Billy Dodds
Mal Donaghy
Will Donkin
Tony Dorigo
Robert Drake
Danny Drinkwater
Didier Drogba
Micky Droy
Michael Duberry
Keith Dublin
Damien Duff
Gordon Durie
Eduardo dos Reis Carvalho
Pierre Ekwah
Paul Elliott
Emanuel Emegha
Michael Essien
Dário Essugo
Neil Etheridge
Samuel Eto'o
Bobby Evans
Cesc Fàbregas
Radamel Falcao
Mark Falco
Juan Familia-Castillo
Joe Fascione
João Félix
Pat Fenlon
Enzo Fernández
Fábio Ferreira
Paulo Ferreira
Albert Ferrer
Jimmy Ferris
Bryan Fiabema
Filipe Luís Kasmirski
Mike Fillery
Robert Fleck
Tore André Flo
Datro Fofana
Wesley Fofana
Craig Forrest
Mikael Forssell
Dick Foss
William Foulke
Steve Francis
Roger Freestone
Robin Friday
Paul Furlong
Dean Furman
Ângelo Gabriel
Hughie Gallacher
Conor Gallagher
William Gallas
Atilio García
Alejandro Garnacho
Tyrique George
Geremi
Alfie Gilchrist
Billy Gilmour
Marco van Ginkel
Olivier Giroud
Bjarne Goldbæk
Benjamin Lawrence Gordon
Len Goulden
George Graham
Anthony Grant
Danny Granville
Jimmy Greaves
Robert Green
Ron Greenwood
Frode Grodås
Jesper Grønkjær
Eiður Guðjohnsen
Jóhann Berg Guðmundsson
Marc Guéhi
Marc Guiu
Ruud Gullit
Malo Gusto
Nikita Hajkin
Gareth Hall
Lewis Hall
Tyrese Hall
Harold Halse
Ian Hamilton
Mick Harford
Jon Harley
Allan Harris
Ron Harris
Mike Harrison
Jimmy Floyd Hasselbaink
Tony Hateley
Jorrel Hato
David Hay
Eden Hazard
Kylian Hazard
Micky Hazard
Michael Hector
Magnus Hedman
Jordan Henderson
Gonzalo Higuaín
Henrique Hilário
George Hilsdon
Marvin Hinton
Kevin Hitchcock
Glenn Hoddle
Jes Høgh
John Hollins
David Hopkin
Jordan Houghton
Peter Houseman
Stewart Houston
Terry Howard
Alan Hudson
Callum Hudson-Odoi
Mark Hughes
Tommy Hughes
Bashir Humphreys
Percy Humphreys
Chris Hutchings
Omari Hutchinson
Sam Hutchinson
Robert Huth
Chukwubuikem Ikwuemesi
Bob Iles
Rohan Ince
Pierre Issa
Branislav Ivanović
Muzzy İzzet
Alex Jackson
Nicolas Jackson
Reece James
Jiří Jarošík
Erland Johnsen
Glen Johnson
Derek Johnstone
Slaviša Jokanović
Joey Jones
Vinnie Jones
Jorginho
Filip Jørgensen
Roger Joseph
João Pedro
Kai Havertz
Gaël Kakuta
Tomáš Kalas
Salomon Kalou
Todd Kane
N'Golo Kanté
Michael Kedman
Joe Keenan
Kenedy
Derek Kevan
Mateja Kežman
Andy King
Joe Kirkup
Jack Kirwan
Jakob Kjeldbjerg
Kalidou Koulibaly
Mateo Kovačić
Maxence Lacroix
Milan Lalkovič
Bernard Lambourde
Frank Lampard
Tariq Lamptey
Tommy Langley
Brian Laudrup
Bobby Laverick
Roméo Lavia
Tommy Law
Henry Lawrence
Tommy Lawton
Gustavo Lazzaretti de Araújo
Graeme Le Saux
Frank Lebœuf
Colin Lee
Ray Lewington
Jim Lewis
Rowan Liburd
Filip Lissah
Bill Livingstone
Steve Livingstone
Tino Livramento
Barry Lloyd
Gary John Locke
Ruben Loftus-Cheek
Pedro Neto
Romelu Lukaku
Levi Lumeka
Robert Sánchez
Ian Maatsen
Ian MacFarlane
Jürgen Macho
Dave MacLaren
Noni Madueke
Yves Makabu-Makalambay
Claude Makélélé
Florent Malouda
Michael Mancienne
Maniche
Marko Marin
Emiliano Martínez
Nemanja Matić
Damian Matthew
Reg Matthews
Xavier Mbuyamba
Tony McAndrew
Jim McCalliog
Eddie McCreadie
Josh McEachran
Cameron McGeehan
Duncan McKenzie
Errol McNally
Ken Chisholm
Zech Medley
Raul Meireles
Mario Melchiot
Jacob Mellis
Junior Mendes
Tiago Mendes
Édouard Mendy
Danny Welbeck
Chris Mepham
Mesca
Matt Miazga
Nils Middelboe
Harold Miller
Sam Millington
George Mills
Leslie Walter Minter
Scott Minto
Dave Mitchell
Marko Mitrović
Kenneth Monkou
Graham Moore
Filipe Morais
Nuno Morais
Álvaro Morata
Nathan Moriah-Welsh
Jody Morris
John Mortimore
Victor Moses
Mason Mount
Mychajlo Mudryk
Miro Muheim
Paddy Mulligan
Frank Munro
Bert Murray
Charly Musonda
Adrian Mutu
Andy Myers
Dan N'Lundulu
Andrey Santos
Pat Nevin
Eddie Newton
Rio Ngumoha
Peter Nicholas
Mark Nicholls
Alexis Nicolas
Eddie Niedzwiecki
Ben Elliott
Eddie Nketiah
Christopher Nkunku
Oliver Norburn
Frank Nouble
Joel Nouble
John O'Rourke
John Obi Mikel
Ayo Obileye
Michael Olise
Filipe Oliveira
Wallace Oliveira dos Santos
Kenneth Omeruo
Tommy Ord
Oscar
Peter Osgood
Kendry Páez
Fábio Paím
Marco Palestra
Cole Palmer
Kasey Palmer
Emerson Palmieri
Danilo Pantić
Christian Panucci
Jonathan Panzo
Paul Parker
Scott Parker
Alexandre Pato
Gavin Peacock
Ian Pearce
Pedro Rodríguez Ledesma
Mike Penders
Pep Chavarría
Stipe Perica
Emmanuel Petit
Dan Petrescu
Đorđe Petrović
Gerry Peyton
Terry Phelan
Daniel Phillips
Lucas Piazon
Mike Pinner
Claudio Pizarro
Dominic Poleon
Ian Poveda
Gustavo Poyet
Philipp Prosenik
Christian Pulisic
Ricardo Quaresma
Geovany Quenda
Domingos Quina
Slobodan Rajković
Jesurun Rak-Sakyi
Daishawn Redan
Loïc Rémy
Tomás Reymão
Peter Rhoades-Brown
Carlos Richards
Dujuan Richards
Derek Richardson
Graham Rix
Arjen Robben
Graham Roberts
Pop Robson
Craig Rocastle
David Rocastle
Joao Rodríguez
Dennis Rofe
Morgan Rogers
Oriol Romeu
Doug Rougvie
Antonio Rüdiger
Jon Russell
Ben Sahar
Jacopo Sala
Mohamed Salah
Levi Colwill
Jadon Sancho
Emmanuel Sarki
Malang Sarr
Mamadou Sarr
Saúl Ñíguez
Derek Saunders
George Saville
André Schürrle
Mark Schwarzer
Melvyn Scott
Andrij Ševčenko
Duncan Shearer
Ken Shellito
Steve Sherwood
Steven Sidwell
John Sillett
Carlos Luciano da Silva
Toni Silva
Billy Sinclair
Frank Sinclair
Scott Sinclair
John Sissons
Callum Slattery
Gabriel Slonina
Aleksej Smertin
Derek Smethurst
Bobby Smith
Jimmy Smith
Renny Smith
Emran Soglo
Dominic Solanke
Frank Soo
Nigel Spackman
David Speedie
John Spencer
Isak Ssewankambo
Mario Stanić
Willy Steffen
Mark Stein
Alex Stepney
Dujon Sterling
Raheem Sterling
Ryan Stevenson
Miroslav Stoch
Les Stubbs
Daniel Sturridge
Neil Sullivan
Christopher Roy Sutton
Kenny Swain
John Swift
Bobby Tambling
Jack Taylor
Sergio Tejera
John Terry
Thiago Silva
Mickey Thomas
Emerson Thome
Ron Tindall
Fikayo Tomori
Gökhan Töre
Fernando Torres
Andy Townsend
Bertrand Traoré
Antef Tsoungui
Peter Sillett
Ross Turnbull
Brian Turner
Ike Ugbo
Lesley Ugochukwu
Harvey Vale
Renato Veiga
Terry Venables
Juan Sebastián Verón
Gianluca Vialli
Colin Viljoen
Clive Walker
Sam Walker
Tommy Walker
Paul Ward
Ben Warren
George Weah
David James Webb
Charlie Webster
Roy Wegerle
Timo Werner
Caleb Wiley
Ray Wilkins
Willian
Andrew Wilson
Kevin Wilson
Richard Wilson
Jimmy Windridge
Dennis Wise
Vic Woodley
Bradley Woods-Garness
Vivian Woodward
Max Woosnam
Kevin Wright
Shaun Wright-Phillips
James Younghusband
Philip Younghusband
Denis Zakaria
Davide Zappacosta
Boudewijn Zenden
Jurij Žirkov
Hakim Ziyech
Gianfranco Zola
Kurt Zouma
