Mika Aaltonen
Beniamino Abate
Fabio Abiuso
Gennaro Acampora
Renato Acanfora
Giuseppe Accardi
Francesco Acerbi
Camillo Achilli
Ferruccio Achilli
Marco Achilli
Daniele Adani
Adriano Leite Ribeiro
Ermanno Aebi
Enzo Affaticati
Paolo Agosteo
Lucien Agoumé
Emilio Agradi
Manuel Akanji
Ebenezer Akinsanmiro
Giuseppe Albani
Rodrigo Alborno
Rafael Alcântara
Renzo Aldi
Enrico Alfonso
Luciano Alghisi
Osvaldo Aliatis
Tullio Aliatis
Denis Alibec
Luigi Allemandi
Ermanno Alloni
Matías Almeyda
Alessandro Altobelli
Ricardo Álvarez
Amedeo Amadei
Claudio Ambu
Luca Anania
Pietro Anastasi
Silas Andersen
Marco Andreolli
Antonio Angelillo
Jocelyn Angloma
Antonio Annibale
Cristian Ansaldi
Piero Antona
Matias Antonini
Giovanni Ardizzi
Giuseppe Arezzi
Gino Armano
Marko Arnautović
Kwadwo Asamoah
Kristjan Asllani
Giuseppe Asti
Christopher Attys
Emil Audero
Stefano Avogadri
Ferruccio Azzarini
Antonio Bacchetti
Klaus Bachlechner
Heinrich Bachmann
Sergio Bagatti
Dino Baggio
Roberto Baggio
Salvatore Bagni
Axel Bakayoko
Angelo Balbiani
Keita Baldé
Enrico Baldini
Giuseppe Baldini
Giulio Balestrini
Costanzo Balleri
Giuseppe Ballerio
Marco Ballotta
Mario Balotelli
Claudio Bandoni
Éver Banega
Gbessay Bangura
Gabriele Baraldi
Pietro Barbieri
Edos Barbini
Giorgio Barbolini
Gabriel Barbosa
José Manuel Barbosa Alves
Francesco Bardi
Nicolò Barella
Giuseppe Baresi
Lorenzo Barlassina
Mario Barluzzi
Marco Barollo
Giorgio Barsanti
Alfredo Bassani
Oscar Basso
Alessandro Bastoni
Alessandro Bastrini
Gabriel Batistuta
Celso Battaia
Sergio Battistini
Giovanni Battistoni
Julio Bavastro
Enzo Bearzot
Nicola Beati
Bruno Beatrice
Evaristo Beccalossi
Amerigo Bedetti
Gianfranco Bedin
Tijani Belaid
Vid Belec
Ishak Belfodil
Mouhamed Belkheir
Raoul Bellanova
Delfo Bellini
Savino Bellini
Niccolò Belloni
Mauro Bellugi
Davide Belotti
Alessandro Beltrami
Marco Benassi
Simone Benedetti
Víctor Benítez
Roberto Bergamaschi
Dennis Bergkamp
Giuseppe Bergomi
Giorgio Bernardin
Fulvio Bernardini
Daniele Bernazzani
Tommaso Berni
Nicola Berti
Mario Bertini
Gianfranco Bertoletti
Daniel Bessa
Aldo Bet
Stefano Bettarini
Davide Bettella
Lorenzo Bettini
Giovanni Bia
Jonathan Biabiany
Stéphane Biakolo
Matteo Bianchetti
Alessandro Bianchi
Pietro Bianchi
Aurelio Biassoni
Remo Bicchierai
Mauro Bicicli
Carlo Binda
Luigi Binda
Graziano Bini
Jonatan Binotto
Cristiano Biraghi
Antonio Bisigato
Yann Aurel Bisseck
Laurent Blanc
Ivano Blason
Antonio Blasevich
Mario Bo
Riccardo Bocalon
Orlando Bocchi
Oscar Bocchi
Luigi Boccolini
Luciano Bodini
Luigi Boffi
Ernesto Boglietti
Bruno Bolchi
Francesco Bolzoni
Giovanni Bolzoni
Costante Bonazza
Federico Bonazzoli
Aquilino Bonfanti
Nicholas Bonfanti
Antoine Bonifaci
Roberto Boninsegna
Giambattista Bonis
Ange-Yoan Bonny
Franco Bontadini
Leonardo Bonucci
Ivano Bordon
Martino Borghese
Ambrogio Borghi
Angelo Borri
Angelo Boselli
Ottorino Bossi
Rubén Botta
Nicola Bovari
Elmo Bovio
Dino Bovoli
Bruno Bozzolo
Liam Brady
Marco Branca
Gabriel Brazão
Jérémie Bréchet
Enrico Brega
Andreas Brehme
Julien Brellier
Silvano Bresadola
Sergio Brighenti
Francesco Brignani
Giorgio Brigo
Dražen Brnčić
Cristian Brocchi
Pietro Broccini
Pietro Bronzini
Marcelo Brozović
Denis Brunazzi
Tajon Buchanan
Lorenzo Buffon
Ottavio Bugatti
Carmelo Buonocore
Angelo Buratti
Nicolás Burdisso
Tarcisio Burgnich
Giovanni Busoni
Mario Bussich
Karlo Butić
Sebastiano Buzzin
Mario Caccia
Washington Cacciavillani
Gian Maria Cadoni
Andrea Cagnano
Felipe Caicedo
Giuseppe Caimi
Angelo Caimo
Fabio Calcaterra
Luigi Caldarulo
Luca Caldirola
Hakan Çalhanoğlu
Fabrizio Caligara
Zoumana Camara
Esteban Cambiasso
Angelo Cameroni
Mario Camilloni
Hugo Campagnaro
Cesare Campagnoli
Aldo Campatelli
Piero Campelli
Enrico Candiani
Antonio Candreva
Marco Caneira
Francesco Canella
Massimiliano Caniato
Fabio Cannavaro
Nazzareno Canuti
Alessandro Capello
Renato Cappellini
Giovanni Capra
Antonio Caracciolo
Fabrizio Caracciolo
Benito Carbone
Franco Carboni
Valentín Carboni
Amos Cardarelli
Fabián Carini
Pietro Carozzi
Marco Carraro
Gustavo Carrer
Juan Pablo Carrizo
Vittorio Casaretti
Francesco Casartelli
Domenico Caso
Antonio Cassano
Luc Castaignos
Armando Castellazzi
Luca Castellazzi
Giuseppe Castelli
Sauro Catellani
Luigi Cattaneo
Benoît Cauet
Franco Causio
João Cancelo
Filippo Cavalli
Luca Ceccarelli
Tito Celani
Celestino Celio
Giancarlo Cella
Giancarlo Centi
Felice Centofanti
Carlo Ceresoli
Franco Cerilli
Alberto Cerioni
César Aparecido Rodrigues
Roberto Cesati
Aldo Cevenini
Carlo Cevenini
Cesare Cevenini
Luigi Cevenini
Mario Cevenini
Angel Chibozo
Giovanni Chiecchi
Odoacre Chierico
Ugo Chiesa
Renzo Chiodi
Cristian Chivu
Lampros Choutos
Andreas Chrysostomou
Franco Ciardi
Nicola Ciccolo
Luigi Ciminaghi
Fabio Cinetti
Massimo Ciocci
Manlio Cipolla
Renato Cipollini
Bruno Cirillo
Alberto Citterio
Sergio Citterio
Carlo Cocchi
Vittorio Coccia
Francesco Coco
Sergio Codognato
Ludo Coeck
Giordano Colausig
Facundo Colidio
Dionisio Collavini
Piero Colli
Fulvio Collovati
Adelio Colombo
Alfredo Colombo
Corrado Colombo
Franco Colombo
Innocente Colombo
Francesco Colonnese
Severo Cominelli
Angelo Conca
Sérgio Conceição
Mirko Conte
Leopoldo Conti
Elpidio Coppa
Vincenzo Coppo
Francesco Coppola
Gabriele Corbo
Alex Cordaz
Iván Córdoba
Franco Cordova
Mario Corinaldesi
Bernardo Corradi
Niccolò Corrado
Joaquín Correa
Zé Turbo
Mario Corso
Aristide Coscia
Paulo Costa
Pedro Costa Ferreira
Matteo Cotali
Philippe Coutinho
Ernesto Crespi
Hernán Crespo
Angelo Crialesi
Amedeo Crippa
Lorenzo Crisetig
Enrico Crotti
Julio Cruz
Juan Cuadrado
Enrico Cucchi
Pacifico Cuman
Ernani D'Alconzo
Vito D'Amato
Danilo D'Ambrosio
Mario Da Pozzo
Antonio Da Sacco
Ousmane Dabo
Olivier Dacourt
Felipe Dal Bello
Silvio Dal Corso
Dalbert
Lauri Dalla Valle
Stéphane Dalmat
Antonio Dalmonte
Oscar Damiani
Cristian Daminuță
Matteo Darmian
Edgar Davids
Carlo Davies
Luigi De Agostini
Gianni De Biasi
