Christian Abbiati
Vasilije Adžić
Karl Aegli
Piero Aggradi
Naouirou Ahamada
William Aitken
Alessandro Ajmone Marsan
Annibale Ajmone Marsan
Riccardo Ajmone Marsan
Marley Aké
Kerim Alajbegović
Giovanni Albera
Carlos Alcaraz
Raffaele Alcibiade
Sjarhej Alejnikaŭ
Giancarlo Alessandrelli
Angelo Alessio
Alex Sandro
Luigi Allemandi
Sergio Bernardo Almirón
José Altafini
Alessandro Altobelli
Dani Alves
Amauri
Raffaele Ametrano
Ugo Amoretti
Nicola Amoruso
Pietro Anastasi
Jorge Andrade
Nicolas Anelka
Stefano Angeleri
Elio Angelini
Carlo Ansermino
Leopoldo Antonini
Lelio Antoniotti
Roberto Anzolin
Stephen Appiah
Alberto Aquilani
Lorenzo Ariaudo
Augusto Arioni
Alfredo Armano
Gioacchino Armano
Salvatore Aronica
Ján Arpáš
Fabio Artico
Kwadwo Asamoah
Tiziano Ascagni
Mario Astorri
Athirson
Emil Audero
Francesco Audisio
Salvatore Avallone
Billy Ayers
Dario Baccin
Jonathan Bachini
Dino Baggio
Roberto Baggio
Davide Baiocco
Angelo Balbiani
Luigi Baldi
Francesco Baldini
Lorenzo Balestro
Federico Balzaretti
Abdoulaye Bamba
Zoran Ban
Rafael Bandeira
Mario Bandirali
Raúl Banfi
Giovanni Barale
Oreste Barale
Alberto Barberis
Giovanni Barberis
Luigi Barberis
Tommaso Barbieri
Antonio Barengo
Alfredo Barisone
Enzo Barrenechea
Rui Barros
Giorgio Bartolini
Giovanni Bartolucci
Emilio Barucco
Andrea Barzagli
Roberto José Battaglia
Renato Beccuti
Maurizio Bedin
Angelo Bedini
Emanuele Belardi
Savino Bellini
Galeazzo Bello
Stefano Beltrame
Medhi Benatia
Nicklas Bendtner
Michele Benedetto
Romeo Benetti
Rodrigo Bentancur
Simone Bentivoglio
Giancarlo Bercellino
Silvino Bercellino
Mario Bergonzini
Federico Bernardeschi
Frantz Bertin
Luigi Bertolini
Alberto Bertuccelli
Pietro Beruatto
Angelo Besozzi
Roberto Bettega
Raffaele Bianco
Carlo Bigatto
Lorenzo Biliboc
Elio Binda
Alessandro Birindelli
Romolo Bizzotto
Jocelyn Blanchard
Francesco Blando
Manuele Blasi
Younes Bnou Marzouk
Mario Bo
Biagio Bobbio
Luciano Bodini
Alfredo Bodoira
Jérémie Boga
Ernesto Boglietti
Romolo Boglietti
Alen Bokšić
Benito Boldi
Friedrich Bollinger
Daniel Boloca
Giorgio Bolognesi
Lorenzo Valerio Bona
Adriano Bonaiuti
Leonardo Bonatini
Fabio Bonci
Dario Bonetti
Ivano Bonetti
Riccardo Bonetto
Zbigniew Boniek
Enrico Boniforti
Massimo Bonini
Roberto Boninsegna
Giampiero Boniperti
Mario Bonivento
Landry Bonnefoi
Leonardo Bonucci
Aldo Giuseppe Borel
Ernesto Borel
Felice Borel
Ezio Borgo
Guglielmo Borgo
Rune Börjesson
Marco Borriello
Luigi Bosca
Luigi Bosco
Jean-Alain Boumsong
Ouasim Bouy
Valeri Božinov
Gianfranco Bozzao
Liam Brady
Edoardo Braiati
Laurențiu Brănescu
Gleison Bremer
Massimo Briaschi
Matteo Brighi
Alberto Brignoli
Sergio Brio
Helge Bronée
Jack Brown
Antonio Bruna
Luigi Brunella
Pasquale Bruno
Roberto Bruno
Giovanni Brutto
Marco Bruzzano
Marcel Büchel
Viktor Budjanskij
Gianluigi Buffon
Attilio Bulgheri
Guglielmo Burelli
Tarcisio Burgnich
Carlo Buscaglia
Luigi Busidoni
Renato Buso
Giovanni Bussone
Alessandro Busti
Juan David Cabal
Antonio Cabrini
Fabrizio Cacciatore
Martín Cáceres
Giuseppe Cafasso
Fabrizio Caligara
Umberto Caligaris
Salvatore Calvanese
Andrea Cambiaso
Gino Camerario
Fabrizio Cammarata
Mauro Camoranesi
Franco Campidonico
Emre Can
Enrico Candiani
Antonio Candreva
Enrico Canfari
Fabio Cannavaro
Renato Caocci
Ostilio Capaccioli
Alessandro Caparco
Riccardo Capellini
Domenico Capello
Fabio Capello
Francesco Capocasale
Rinaldo Cappellini
Emilio Caprile
Araldo Caprili
Luigi Capuzzo
Riccardo Carapellese
Nicola Caricola
Fabián Carini
Pietro Carmignani
Angelo Caroli
Franco Carrera
Massimo Carrera
Corrado Casalini
Domenico Casati
Roberto Caselli
Pierluigi Casiraghi
Lino Cason
Mattia Cassani
Ernesto Castano
Eugenio Castellucci
Luca Castiglia
Filippo Castoldi
Tommaso Caudera
Franco Causio
Lino Cauzzo
João Cancelo
Filippo Cavalli
Dario Cavallito
Andrea Caverzan
Michele Cavion
Zeki Çelik
Carlo Ceresoli
Francesco Cergoli
Sergio Cervato
Renato Cesarini
José Cevallos Enríquez
Luigi Cevenini
John Charles
Ferdinando Chiapirone
Vincenzo Chiarenza
Bruno Chiavacci
Angel Chibozo
Raman Chibsah
Giorgio Chiellini
Federico Chiesa
Antonio Chimenti
Giacomo Chinellato
Chinesinho
Davide Chiumiento
Loriano Cipriani
Lelio Colaneri
Giordano Colausig
Gino Colaussi
Leonardo Colella
Sandro Collino
Giuseppe Collino
Goffredo Colombi
Aldo Colombo
Angelo Colombo
Umberto Colombo
Kingsley Coman
Ivano Comba
Gianpiero Combi
Nestor Combin
Charles Comte
Francisco Conceição
Luigi Consonni
Antonio Conte
Raúl Conti
Ugo Conti
Umberto Copasso
Francesco Coppola
Alberto Coramini
Ettore Corbelli
Eugenio Corini
Giuseppe Corradi
Félix Correia
Aristide Coscia
Alberto Costa
Dino da Costa
Mario Costa
Dante Crippa
Domenico Criscito
Cristiano Ronaldo
Carlo Crotti
Juan Cuadrado
Antonello Cuccureddu
Salvatore D'Elia
Alessandro Dal Canto
Benigno Dalmazzo
Antonio Dalmonte
Oscar Damiani
Danilo
Luigi Danova
Bruno Dante
Francesco Daprà
Jonathan David
Edgar Davids
Luigi De Agostini
Paolo De Ceglie
Lodovico De Filippis
Afonso de Freitas
Matthijs de Ligt
Marco De Marchi
Silvio De Nicolai
Virginio De Paoli
Morgan De Sanctis
Mattia De Sciglio
Koni De Winter
Guido Debernardi
Dario Del Fabro
Guido Del Grosso
Loris Del Nevo
Alessandro Del Piero
Luis del Sol
Carlo Dell'Omodarme
Francesco Della Monica
Edmondo Della Valle
Angelo Dellacasa
Filippo Delli Carri
Alessio Delpiano
Merih Demiral
Teobaldo Depetrini
Didier Deschamps
Paolo Di Canio
Ruggero Di Cuonzo
Michele Di Gregorio
Angelo Di Livio
Ángel Di María
Augusto Di Muri
Alessandro Di Pardo
Marco Di Vaio
Mbaye Diagne
Joss Didiba
Diego Ribas
Armando Diena
Ferruccio Diena
Matar Dieye
Jack Diment
Tiago Djaló
Marcelo Djaló
Aldo Dolcetti
Secondo Donino
Anastasios Dōnīs
