Edmond Abazi
Djamel Abdoun
Mohammed Abu
Tosin Adarabioyo
Emmanuel Adebayor
Bismark Adjei-Boateng
Sergio Agüero
Kluiverth Aguilar
Thomas Agyepong
Ernest Agyiri
Paul Aimson
Rayan Aït-Nouri
Manuel Akanji
Nathan Aké
Clive Allen
Danny Allsopp
Julián Alvarez
Thierry Ambrose
Elliot Anderson
Allan Andrade Elias
Nicolas Anelka
Uriel Antuna
Noah Ohio
Árni Gautur Arason
Daniel Arzani
Gai Assulin
Dalian Atkinson
Adedire Mebude
Olarenwaju Kayode
David Bacuzzi
Joe Bacuzzi
Juma Bah
David Ball
Michael John Ball
Mario Balotelli
Jimmy Bannister
Sam Barkas
Brandon Barker
Horace Barnes
Peter Barnes
Earl Barrett
Gareth Barry
Joey Barton
Gavin Bazunu
Peter Beagrie
Peter Beardsley
DaMarcus Beasley
Darren Beckford
Jason Beckford
Myles Beerman
Paul Beesley
Colin Bell
Craig Bellamy
Djamel Belmadi
Tal Ben Haim
Ahmad Benali
Ali Benarbia
Dave Bennett
John Benson
John Beresford
Eyal Berkovic
Adrián Bernabé
Marcus Bettinelli
Barrie Betts
Rolando Bianchi
Wayne Biggins
Andy Black
Billy Blyth
Jérôme Boateng
Oscar Bobb
Luke Bolton
Wilfried Bony
Tony Book
Tommy Booth
Paul Bosvelt
Ayyoub Bouaddi
Stan Bowles
Ian Bowyer
Dedryck Boyata
Phil Boyer
Valeri Božinov
Jayden Braaf
Lee Bradbury
Michael Branch
Ralph Brand
Ged Brannan
Luke Brattan
Claudio Bravo
Thomas Brdarić
Jack Brennan
Wayne Bridge
James Broad
Ivor Broadis
Eric Brook
David Brooks
Michael Brown
Gary Browne
Kean Bryan
Frank Buckley
Isaac Buckley-Ricketts
Harry Bunn
Herbert Burgess
John Burridge
Matt Busby
Jamie Bynoe-Gittens
Jack Byrne
Sinan Bytyqi
Wilfredo Caballero
Anthony Cáceres
Felipe Caicedo
Rafael Camacho
Tyrese Campbell
Sydney Cann
Frank Carrodus
Scott Carson
Nery Castillo
João Cancelo
Bersant Celina
Mick Channon
Chris Chantler
Pierce Charles
Shea Charles
Laurent Charvet
Roy Cheetham
Rayan Cherki
Adrian Cieślewicz
Lenni Cirino
CJ Egan-Riley
Tommy Johnson
Jeff Derreck Clarke
Wayne Clarke
Adam Clayton
Gaël Clichy
Nigel Clough
Andy Cole
Devante Cole
Simon Colosimo
Jimmy Conway
Terry Cooke
Paul Cooper
Vedran Ćorluka
Bernardo Corradi
Félix Correia
Joe Corrigan
Billy Cowan
Sam Cowan
Lee Croft
Jack Crompton
David Cross
Johnny Crossan
Tony Cunningham
Greg Cunningham
Keith Curle
Ousmane Dabo
Steve Daley
Teerasil Dangda
Barney Daniels
Danilo Luiz da Silva
Jacob Davenport
Craig Davies
George Davies
Gordon Davies
Gordon Davies
Keston Davies
Wyn Davies
Kevin De Bruyne
Geert De Vlieger
John Deehan
Liam Delap
Tom Dele-Bashiru
Fabian Delph
Martín Demichelis
Jason Denayer
Kazimierz Deyna
Sadou Diallo
Brahim Díaz
Paul Dickov
Javairô Dilrosun
Alpha Diounkou
Mikkel Diskerud
Sylvain Distin
Peter Dobing
Mick Docherty
Peter Doherty
Jérémy Doku
Tyrhys Dolan
Willie Donachie
Gianluigi Donnarumma
Godsway Donyoh
Rúben Dias
Harry Dowd
Callum Doyle
Mike Doyle
Tommy Doyle
Richard Dryden
Demeaco Duhaney
Terry Dunfield
George Dunlop
Richard Dunne
Jake Dunwoody
Edin Džeko
Claudio Echeverri
Ederson Santana de Moraes
Richard Edghill
Samuel Edozie
Ronnie Ekelund
Sadiq El Fitouri
Omar Elabdellaoui
Elano
Stephen Elliott
Angeliño
Dickson Etuhu
Kelvin Etuhu
Ched Evans
George Evans
Shay Facey
Joe Fagan
Justin Fashanu
Gelson Fernandes
Paolo Fernandes
Enzo Fernández
Fernandinho
Nahuel Ferraresi
Gary Fleming
Tyler Fletcher
Willo Flood
Tim Flowers
Phil Foden
Marc-Vivien Foé
Seko Fofana
Carlos Forbs
John Foster
Robbie Fowler
Trevor Francis
Michael Frontzeck
Márton Fülöp
Paul Futcher
Ron Futcher
Tomas Galvez
Francisco Javier García
Manu García
Eric García
Aleix García
Benjamín Garré
Javier Garrido
Maurizio Gaudino
Brian Gayle
Georgie Gent
Geovanni Deiberson Maurício
John Gidman
Ray Gill
Shay Given
Gláuber
Eddy Gnahoré
Shaun Goater
Ivan Golac
Claudio Gomes
Sergio Gómez Martín
David González Giraldo
Nicolás González
Tony Grant
Wilf Grant
Danny Granville
Jack Grealish
Tony Grealish
Carl Griffiths
Daniel Grimshaw
Alfons Groenendijk
Marc Guéhi
John Guidetti
İlkay Gündoğan
Angus Gunn
Joško Gvardiol
Darko Gyabi
Erling Haaland
Tuomas Haapala
Alf-Inge Håland
Dave Halliday
Dietmar Hamann
Mickey Hamill
Ted Hanney
Åge Hareide
Owen Hargreaves
Alan Harper
Joe Hart
Johnny Hart
Asa Hartford
Taylor Harwood-Bellis
Kjetil Haug
Adrian Heath
Jérémy Hélan
Colin Hendry
Wayne Hennessey
Tony Henry
Yangel Herrera
George Heslop
Paul Hince
Andy Hinchcliffe
Joe Hodge
Eirik Holmen Johansen
Tobias Holmen Johansen
Kevin Horlock
Stan Horne
James Horsfield
Micky Horswill
Steve Howey
Jamie Hoyland
Darren Huckerby
Charlie Hughes
Michael Hughes
Cameron Humphreys
Tommy Hutchison
Emyr Huws
Abdisalam Ibrahim
Kelechi Iheanacho
Ivan Ilić
Luka Ilić
Eike Immel
Kåre Ingebrigtsen
Rae Ingram
Stephen Ireland
Andreas Isaksson
Kō Itakura
David James
Derek Jeffries
Niclas Jensen
Gabriel Jesus
Jô
Adam Johnson
David Johnson
Jeff Johnson
Michael Johnson
Bobby Johnstone
Chris Jones
Nigel de Jong
Jorginho
Stevan Jovetić
Josh Wilson-Esbrand
Andrej Kančel'skis
Steffen Karl
Kayky
Ged Keegan
Mark Kennedy
Karim Kerkar
Alan Kernaghan
Derek Kevan
Omar Marmoush
Brian Kidd
Chris Killen
Giorgi Kinkladze
Stephen Kinsey
Aleksandar Kolarov
Vincent Kompany
Rodney Kongolo
Mateo Kovačić
Paul Lake
Frank Lampard
Aymeric Laporte
Juan Larios
Joël Latibeaudiere
Roméo Lavia
Denis Law
Francis Lee
Greg Leigh
Florian Lejeune
Dennis Leman
Neil Lennon
Joleon Lescott
Rico Lewis
Mark Lillis
George Livingstone
Shay Logan
Steve Lomas
Marcos Lopes
Tyrone Loran
Matheus Nunes
Jon Macken
Steve MacKenzie
Pablo Maffeo
Riyad Mahrez
Maicon Douglas Sisenando
Róbert Mak
Willie Maley
Wallyson Mallmann
Eliaquim Mangala
Arthur Mann
Pablo Marí
Rodney Marsh
Gary Mason
Rabbi Matondo
Giuseppe Mazzarelli
Billy McAdams
Bobby McAlinden
James McAtee
Mick McCarthy
Patrick McCarthy
Les McDowall
Ryan McGivern
Eddie McGoldrick
Sammy McIlroy
Steve McMahon
Steve McManaman
Jimmy McMullan
Ken McNaught
Ken Chisholm
Jimmy Meadows
Tyrone Mears
Ben Mee
Gary Megson
Benjamin Mendy
Billy Meredith
Ryōtarō Meshino
Lucien Mettomo
Adie Mike
Ishmael Miller
Danny Mills
Matthew Mills
Lee Mills
James Milner
Bobby Mimms
James Mitchell
Jeremy Monga
Pablo Moreno
Marlos Moreno
Trevor Morley
Andy Morrison
Paul Moulden
Christian Mouritsen
Émile Mpenza
Divin Mubama
Ken Mulhearn
Arijanet Murić
Brian Murphy
Jimmy Murray
Kiki Musampa
Benjani Mwaruwari
Divine Naah
Carlo Nash
Samir Nasri
Matija Nastasić
Jesús Navas
Iliman Ndiaye
Christian Negouai
Álvaro Negredo
Gunnar Nielsen
Alex Nimely
Felix Nmecha
Lukas Nmecha
Nolito
Olivier Ntcham
Razak Nuhu
George O'Boyle
Martin O'Neill
Nico O'Reilly
Alan Oakes
Mipo Odubeko
David Oldfield
Michael Olise
Nedum Onuoha
Filip Oršula
Stefan Ortega
Osayamen Osawe
Egil Østenstad
Nicolás Otamendi
Bobby Owen
Ken Oxford
Ante Palaversa
Cole Palmer
Roger Palmer
Romal Palmer
Erik Palmer-Brown
Costel Pantilimon
Glyn Pardoe
Charlie Parry
Will Patching
Stuart Pearce
Máximo Perrone
Martin Petrov
Terry Phelan
David Phillips
Kalvin Phillips
David Pizarro
Neil Pointon
Pedro Porro
Ian Poveda
Paul Power
Iker Pozo
José Ángel Pozo
Spencer Prior
Mikheil Q'avelashvili
Niall Quinn
Abdul Razak
Fernando Reges
Peter Reid
Tijjani Reijnders
Karim Rekik
Omar Rekik
Don Revie
Claudio Reyna
Jack Reynolds
Micah Richards
Bill Ridding
Albert Riera
Frank Roberts
Patrick Roberts
Robinho
Mark Robins
Michael Robinson
Peter Robinson
David Rocastle
Rodri
Jack Rodwell
Morgan Rogers
Joan Ángel Román
Colin Rösler
Uwe Rösler
Jimmy Ross
Simon Royce
Joe Royle
Gerónimo Rulli
Albert Rusnák
John Ryan
Bacary Sagna
Kiatprawut Saiwaeo
Giōrgos Samaras
Ray Sambrook
Martin Samuelsen
Philippe Sandler
Leroy Sané
Roque Santa Cruz
Darío Sarmiento
Stefan Savić
Savinho
Kasper Schmeichel
Peter Schmeichel
Tony Scully
Mark Seagraves
David Seaman
Cliff Sear
Antoine Semenyo
John Sheridan
Bobby Shinton
Shola Shoretire
Carl Shutt
Antoine Sibierski
Barry Siddall
Bernardo Silva
David Silva
Ellis Simms
Fitzroy Simpson
Paul Simpson
Jahmai Simpson-Pusey
Scott Sinclair
Trevor Sinclair
Matt Smith
Tommy Smith
Rubén Sobrino
David Sommeil
Bert Sproston
Zack Steffen
Dragoslav Stepanović
Raheem Sterling
Filip Stevanović
Paul Stewart
John Stones
Kevin Stuhr Ellegaard
Daniel Sturridge
Denis Suárez
Mike Summerbee
Nicky Summerbee
Sun Jihai
Frank Swift
Sylvinho
Kit Symons
Gerry Taggart
Michael Tarnat
Dani Tasende
Gareth Taylor
Neil Taylor
Paul Taylor
