Angel Gomes
Arthur Albiston
Jack Allan
Reg Allen
Arthur Allman
Harry Amass
Ben Amos
Sofyan Amrabat
Anderson Luís de Abreu Oliveira
George Anderson
John Anderson
Trevor Anderson
Viv Anderson
William John Anderson
Noah Ohio
Michael Appleton
Beaumont Asquith
John Aston
John Aston
Ray Baartz
Gary Bailey
Eric Bailly
David Bain
Harry Baird
Tommy Baldwin
Carlos Baleba
Thomas Bamford
Jimmy Bannister
Phil Bardsley
Jack Barmby
Peter Barnes
Frank Barson
Fabien Barthez
Altay Bayındır
Robert Beale
Peter Beardsley
Russell Beardsmore
Bebé
David Beckham
Łukasz Bejger
Alex Bell
David Bellion
Mylan Benjamin
Geoff Bent
Dimităr Berbatov
Henning Berg
Di'Shon Bernard
Johnny Berry
George Best
Brian Birch
Garry Birtles
Tyler Blackett
Clayton Blackmore
Laurent Blanc
Jackie Blanchflower
Daley Blind
Jesper Blomqvist
Indy Boonen
Cameron Borthwick-Jackson
Mark Bosnich
Warren Bradley
Robbie Brady
Evandro Brandão
Febian Brandy
Alan Brazil
Tommy Breen
Shay Brennan
Ben Brereton Díaz
James Broad
Ivor Broadis
James Brown
Jim Brown
Wes Brown
Josh Brownhill
Alex Bruce
Steve Bruce
Martin Buchan
Frank Buckley
Herbert Burgess
Nishan Burkart
Francis Burns
Jack Butland
Nicky Butt
Jacob Butterfield
Alexander Büttner
Roger Byrne
Fraizer Campbell
Éric Cantona
Noel Cantwell
Johnny Carey
Michael Carrick
Roy Carroll
Casemiro
Edinson Cavani
Luke Chadwick
Stewart Chalmers
Bobby Charlton
James Chester
Allenby Chilton
Patrick Dorgu
Tahith Chong
Tom Cleverley
Henry Cockburn
Andy Cole
Larnell Cole
Toby Collyer
Eddie Colman
Andrew Comyn
John Connaughton
John Connelly
Terry Cooke
Kenny Cooper
Steve Coppell
Pat Crerand
Cristiano Ronaldo
Jack Crompton
Matt Crooks
Mark Crossley
Jordi Cruijff
Matheus Cunha
Laurie Cunningham
Colin Curran
Hugh Curran
Joe Curry
John Curtis
Fábio Pereira da Silva
Diogo Dalot
Paul Dalton
Gerry Daly
Barney Daniels
Karl Darlow
Matteo Darmian
Peter Davenport
Alan Davies
Billy Davies
Ron Davies
Wyn Davies
Simon Ithel Davies
David de Gea
Ritchie De Laet
Matthijs de Ligt
Jimmy Delaney
Mark Dempsey
Memphis Depay
Ángel Di María
Amad Diallo
Mame Biram Diouf
Eric Djemba-Djemba
Peter Doherty
Mal Donaghy
Dong Fangzhuo
Tony Donnelly
Bojan Đorđić
Antony Matheus dos Santos
Danny Drinkwater
Dion Dublin
Martin Dúbravka
Dick Duckworth
Joe Dudgeon
Jimmy Dunne
Pat Dunne
Tony Dunne
Mike Duxbury
Chris Eagles
Sylvan Ebanks-Blake
Adam Eckersley
Richard Eckersley
Hugh Edmonds
Duncan Edwards
Sadiq El Fitouri
Anthony Elanga
Christian Eriksen
Corry Evans
Jonny Evans
Patrice Evra
Christy Fagan
Radamel Falcao
Marouane Fellaini
Rio Ferdinand
Darren Ferguson
