Leroy Abanda
Ignazio Abate
Christian Abbiati
Tammy Abraham
Francesco Acerbi
Dominic Adiyiah
Yacine Adli
Michael Agazzi
Massimo Agostini
Stefano Aigotti
Michelangelo Albertazzi
Demetrio Albertini
Enrico Albertosi
Gabriele Aldegani
Luciano Alfieri
Mohammed Aliyu Datti
Riccardo Allegretti
Eugenio Allievi
David Allison
José Altafini
Massimo Ambrosini
Marco Amelia
Márcio Amoroso
Carlo Ancelotti
Davide Ancelotti
Andreas Andersson
Lorenzo Andrenacci
Luigi Andreoli
Cristian Andreoni
Antonio Angelillo
Luigi Angelini
Daniele Angeloni
Carlo Annovazzi
Angelo Anquilletti
Luca Antonelli
Roberto Antonelli
Giuseppe Antonini
Luca Antonini
Francesco Antonioli
Alberto Aquilani
Aleksandar Aranđelović
Bruno Arcari
Pietro Arcari
Matteo Ardemagni
Pablo Armero
Vicente Arnoni
Luigi Asti
Davide Astori
Zachary Athekame
Catilina Aubameyang
Pierre-Emerick Aubameyang
Willy Aubameyang
Roberto Ayala
Renzo Azaghi
Ibrahim Ba
Carlos Bacca
Bruno Bacchetta
Mauro Bacchin
Giancarlo Bacci
Roberto Baggio
Osvaldo Bagnoli
Tiémoué Bakayoko
Tiziano Ballarin
Fodé Ballo-Touré
Mario Balotelli
Luigi Balzarini
József Bánás
Mario Bandirali
Angelo Baratti
Aldo Barbieri
Luigi Barbieri
Ezio Bardelli
Franco Baresi
Maks Barišič
Paolo Barison
Mario Barluzzi
Paulo Vitor Barreto
Davide Bartesaghi
Dario Baruffi
Ulisse Baruffini
Gianangelo Barzan
Marco van Basten
Celso Battaia
Sergio Battistini
Julio Bavastro
Bruno Baveni
Gastone Bean
David Beckham
Mario Begni
Asmir Begović
Pierangelo Belli
Savino Bellini
Armando Bellolio
Carlo Belloni
Fabio Bellotti
Samir Beloufa
Giancarlo Beltrami
Žan Benedičič
Vittorio Benelle
Paolo Benetti
Romeo Benetti
Víctor Benítez
Ismaël Bennacer
Eros Beraldo
Giacomo Beretta
Luigi Beretta
Natale Beretta
Bruno Beretti
Franco Bergamaschi
Mario Bergamaschi
Bruno Berra
Andrea Bertolacci
Ermanno Bertolotti
Aldo Bet
Sergio Bettini
Pietro Bettoli
Osvaldo Biancardi
Ennio Bianchi
Luigi Bianchi
Ottavio Bianchi
Walter Bianchi
Giorgio Biasiolo
Oliver Bierhoff
Aldo Biffi
Roberto Biffi
Lucas Biglia
Alberto Bigon
Patrizio Billio
Luigi Binda
Renzo Biondani
Carlo Biraghi
Valter Birsa
Guido Bistazzoni
Lukas Björklund
Luther Blissett
Jesper Blomqvist
Sandro Bloudek
Kevin-Prince Boateng
Kingsley Boateng
Zvonimir Boban
Salvatore Bocchetti
Orlando Bocchi
Renato Bodini
Winston Bogarde
Simone Boldini
Marco Bolis
Angelo Bollano
Giovanni Bolzoni
Eridio Bonardi
Giacomo Bonaventura
Vittorio Bonello
Daniele Bonera
Dario Bonetti
Alessandro Bonetti
Aquilino Bonfanti
Pietro Bonfiglio
Enrico Boniforti
Luigi Bonizzoni
Andrea Bonomi
Simone Bonomi
Gennaro Bonsanto
Franco Bontadini
Leonardo Bonucci
Claudio Borghi
Guglielmo Borgo
