Amir Abedzadeh
Milenko Ačimovič
Chris Adams
Tosin Adarabioyo
Emmanuel Adebayor
Toby Alderweireld
Clive Allen
Les Allen
Paul Allen
Peter Allen
Rory Allen
Dele Alli
Bobby Almond
Ben Alnwick
Walter Alsford
Samuel Amo-Ameyaw
Luke Amos
Darren Anderton
Jordan Archer
Steve Archibald
Osvaldo Ardiles
Chris Armstrong
Gerry Armstrong
Benoît Assou-Ekotto
Thimothée Atouba
Serge Aurier
Dean Austin
Ismail Azzaoui
Espen Baardsen
Roy Bailey
Eddie Baily
Peter Baker
Gareth Bale
Dominic Ball
Nick Barmby
Sébastien Bassong
Peter Beadle
Phil Beal
Dave Beasant
Les Bennett
Keanan Bennetts
Darren Bent
Nabil Bentaleb
Rodrigo Bentancur
David Bentley
Dimităr Berbatov
Yuri Berchiche
Guðni Bergsson
Lucas Bergvall
Steven Bergwijn
Nicola Berti
Luis Binks
Ted Birnie
Yves Bissouma
Danny Blanchflower
Herbert Bliss
Jonathan Blondel
Kevin-Prince Boateng
John Bostock
Mark Bowen
Terry Boyle
Jimmy Brain
Alan Brazil
John Brearley
Garry Brooke
Johnny Brooks
Noel Brotherston
Jim Brown
Laurie Brown
Michael Brown
Vic Buckingham
Goran Bunjevčević
Calum Butcher
Guy Butters
David Button
David Byrne
Nathan Byrne
Colin Calderwood
John Cameron
Fraizer Campbell
Sol Campbell
Jimmy Cantrell
Étienne Capoue
Stephen Carr
Michael Carrick
Thomas Carroll
Cameron Carter-Vickers
Darren Caskey
Sid Castle
Steven Caulker
Cristian Ceballos
Wayne Cegielski
Radek Černý
Kallum Cesay
Nacer Chadli
Herbert Chapman
John Chiedozie
Pascal Chimbonda
Vlad Chiricheș
Martin Chivers
Dennis Cirkin
Nico Claesen
Jamie Clapham
Jack Clarke
Ray Clarke
Eddie Clayton
Ray Clemence
Stephen Clemence
Ralph Coates
Richard Cooke
Vedran Ćorluka
Roy Cotton
Souleymane Coulibaly
Sam Cox
Ian Crook
Peter Crouch
Carlo Cudicini
Barry Daines
Stéphane Dalmat
Kevin Danso
Calum Davenport
Edgar Davids
Ben Davies
Simon Davies
Sean Davis
Simon Dawkins
Michael Richard Dawson
Chris Day
Yago Santiago
Dillon De Silva
João Victor de Souza Menezes
Rodrigo Defendi
Jermain Defoe
Moussa Dembélé
Jason Demetriou
Clint Dempsey
Dorian Dervite
Alfie Devine
Ally Dick
Les Dicker
Eric Dier
Spase Dilevski
Mike Dillon
Jimmy Dimmock
Ted Ditchburn
Ronnie Dix
Bill Dodge
Gary Doherty
Matt Doherty
José Dominguez
Janoi Donacien
Jamie Donley
Giovani dos Santos
Radu Drăgușin
Martin Dúbravka
Ilie Dumitrescu
John Duncan
Len Duquemin
Gordon Durie
Terry Dyson
Justin Edinburgh
Erik Edman
Marcus Edwards
Mounir El Hamdaoui
Hossam Ghaly
Jimmy Elliott
Emerson Royal
Mike England
Christian Eriksen
Kion Etete
Matthew Etherington
Ray Evans
Willie Evans
Mark Falco
Iago Falque
Federico Fazio
Neale Fenn
Terry Fenwick
Les Ferdinand
Gedson Fernandes
Mateus Fernandes
Mike Flanagan
Omari Forson
Fraser Forster
Quinton Fortune
Dick Foss
Ruel Fox
Juan Foyth
Zaine Francis-Angol
George Francomb
Ryan Fredericks
Ray Freeman
Steffen Freund
Brad Friedel
Ezekiel Fryers
Márton Fülöp
Bill Brown
Conor Gallagher
William Gallas
Giancarlo Gallifuoco
Tony Galvin
Anthony Gardner
Paul Gascoigne
Paulo Gazzaniga
Anthony Georgiou
Roger Gibbins
Terry Gibson
Bryan Gil
Gilberto da Silva Melo
Ian Gillard
Alan Gilzean
David Ginola
Tom Glover
Cy Goddard
Pierluigi Gollini
Tomislav Gomelt
Heurelho Gomes
Richard Gough
Mark Gower
Archie Gray
Phil Gray
Jimmy Greaves
George Greenfield
Arthur Grimsdell
Frode Grodås
Arnaut Danjuma
Vic Groves
Eiður Guðjohnsen
Chris Gunter
Willie Hall
Grant Hall
Tyrese Hall
Emil Hallfreðsson
Ken Hancock
Ted Harper
Shayon Harrison
Joe Hart
Stan Hayhurst
Micky Hazard
Ian Hendon
Ron Henry
Danny Hill
Lars Hirschfeld
Glenn Hoddle
Steve Hodge
Lee Hodges
Pierre-Emile Højbjerg
Phil Holder
John Hollowbread
Jimmy Holmes
John Holsgrove
Lewis Holtby
Gary Hooper
Mel Hopkins
Scott Houghton
Tom Huddlestone
Chris Hughton
Percy Humphreys
George Hunt
Alex Hunter
Alan Hutton
Philip Ifil
Jim Iley
Steffen Iversen
Johnnie Jackson
Vincent Janssen
Oscar Jansson
Jermaine Jenas
David Jenkins
Pat Jennings
Brennan Johnson
Cliff Jones
William Jordan
Younes Kaboul
Yannick Kamanan
Harry Kane
Frédéric Kanouté
Robbie Keane
Andy Keeley
Kasey Keller
Stephen Kelly
Omar Marmoush
Bongani Khumalo
Kieran McKenna
Michael Kightly
Ledley King
Joe Kinnear
Antonín Kinský
Jack Kirwan
Jürgen Klinsmann
Cyril Knowles
Randal Kolo Muani
Paul Konchesky
Niko Kranjčar
